file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH063a_1098,314,2060.8,2963.5,-2.8,-21.1,-29.1,61.4,-76.6,-151.2,-10,3.8,-3.5,20.2,-20.4,-38.9,-1.5,8.2,3.2
KLH063a_1099,586.6,1295.6,2497.4,-5.5,353.6,54.7,-60.6,94.3,74.1,-25.3,56.9,22.8,-21.5,19.9,40.6,-7.4,36.4,15.4
KLH063a_1100,475.4,959,2445.9,-1,-253.8,67,14.9,138.6,-5.4,-12.2,-13.4,7.9,6.7,42,7.8,-4.3,-18.3,4.1
KLH063a_1101,436.4,1612.3,2340.1,47.5,41.5,71.2,4.3,-128.7,-40.9,16.2,-17.5,-14.5,2.7,-25.8,9.3,6.2,-7,-8.6
KLH063a_1102,466,1233.3,2308.3,53.1,-150.2,-51.3,-33.3,22.9,65.6,24.6,-12.9,-44.2,-13.1,7.7,33.8,4.4,2,13.6
KLH063a_1103,508.4,1128.5,2449.3,-90.3,129.2,6.8,-20.5,41.9,19.3,-7.8,15.8,0,-12.9,-16.7,4.2,-6,4.8,0
KLH063a_1104,517,1222.6,2328.5,59.4,112.9,74.5,-8.7,223.5,2.6,-1.4,-74.6,1.6,4,44.9,5.3,11.2,-18.1,7.4
KLH063a_1105,424.2,1742.5,2289.9,10.8,-153.5,-59.2,-0.1,-43.9,2.6,1.8,-11.6,-2.2,0,2.2,3.9,1,-18.1,-11.8
KLH063a_1106,430.3,1978.3,2756.3,0.9,-17.8,-48.2,-8,-7.6,-95.2,2.2,-14.2,28.3,-12,22.8,-6,-3.2,-36.6,-12.9
KLH063a_1107,544.5,1697.7,2617.4,7.6,146.4,10,-24.9,28.1,-71.4,27.4,36.1,-6.9,-1.7,11.8,-9,6.1,-3.2,-9.9
KLH063a_1108,409.9,1688.6,2211,7.7,-29.1,174.4,48.3,106.2,88,7,-57.7,8.7,13.1,5.7,-26.4,-2.1,-13.7,-44.2
