file,filename,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1,comment2
165,KLH021a_0165,u,338,0.11000000000001364,180.2446,180.3546,k,ʻ,0,kuʻu,109,180.19368866005885,180.6446,-,-,,
166,KLH021a_0166,u,340,0.23661866798664732,180.40798133201335,180.6446,ʻ,sp,0,kuʻu,109,180.19368866005885,180.6446,-,-,,
167,KLH021a_0167,a,343,0.07908420036415009,181.31700621032547,181.39609041068962,m,k,0,make,111,181.2738591682249,181.55744769046487,-,kuʻu,,
168,KLH021a_0168,e,345,0.0791476904648789,181.4783,181.55744769046487,k,k,0,make,111,181.2738591682249,181.55744769046487,-,kuʻu,,
169,KLH021a_0169,u,347,0.06569090836700298,181.6505629586356,181.7162538670026,k,ʻ,0,kuʻu,112,181.55744769046487,181.7883,make,makuahine,,
170,KLH021a_0170,u,349,0.04999999999998295,181.7383,181.7883,ʻ,m,0,kuʻu,112,181.55744769046487,181.7883,make,makuahine,,
0,--,a,351,0.059466485810588665,181.8883,181.94776648581058,m,k,1,makuahine,113,181.7883,182.87529455875867,kuʻu,i,,disfl
0,--,u,353,0.13000000000002387,182.3883,182.5183,k,a,1,makuahine,113,181.7883,182.87529455875867,kuʻu,i,,disfl
0,--,a,354,0.060000000000002274,182.5183,182.5783,u,h,1,makuahine,113,181.7883,182.87529455875867,kuʻu,i,,disfl
0,--,i,356,0.11468512324773883,182.64509923943407,182.7597843626818,h,n,1,makuahine,113,181.7883,182.87529455875867,kuʻu,i,,disfl
0,--,e,358,0.0369945587586642,182.8383,182.87529455875867,n,i,1,makuahine,113,181.7883,182.87529455875867,kuʻu,i,,disfl
0,--,i,359,0.12300544124133239,182.87529455875867,182.9983,e,sp,1,i,114,182.87529455875867,182.9983,makuahine,-,excresc ʻokina/creak at end of word,disfl
0,--,a,362,0.010706506727387932,183.16613371311922,183.1768402198466,k,m,1,ka,116,183.13155606254776,183.1768402198466,-,makahiki,,
171,KLH021a_0171,a,364,0.07426882189480466,183.2505961550797,183.3248649769745,m,k,0,makahiki,117,183.1768402198466,183.7683,ka,ʻumi,,
172,KLH021a_0172,a,366,0.050127288515653845,183.3983,183.44842728851566,k,h,0,makahiki,117,183.1768402198466,183.7683,ka,ʻumi,,
173,KLH021a_0173,i,368,0.0866541372822951,183.50681138125913,183.59346551854142,h,k,0,makahiki,117,183.1768402198466,183.7683,ka,ʻumi,,
174,KLH021a_0174,i,370,0.07303746286908108,183.69526253713093,183.7683,k,ʻ,0,makahiki,117,183.1768402198466,183.7683,ka,ʻumi,,
175,KLH021a_0175,u,372,0.08956516002581338,183.8183,183.9078651600258,ʻ,m,0,ʻumi,118,183.7683,184.0992466244785,makahiki,kūmā,,
176,KLH021a_0176,i,374,0.11120505158132232,183.98804157289717,184.0992466244785,m,k,0,ʻumi,118,183.7683,184.0992466244785,makahiki,kūmā,,
177,KLH021a_0177,ū,376,0.04959538635472427,184.2183,184.26789538635472,k,m,0,kūmā,119,184.0992466244785,184.49491174639505,ʻumi,iwa,,
178,KLH021a_0178,ā,378,0.13783136145303843,184.357080384942,184.49491174639505,m,i,0,kūmā,119,184.0992466244785,184.49491174639505,ʻumi,iwa,,
179,KLH021a_0179,i,379,0.1468399471688997,184.49491174639505,184.64175169356395,ā,w,0,iwa,120,184.49491174639505,184.90208769900843,kūmā,-,,
180,KLH021a_0180,a,381,0.17745701685834092,184.7246306821501,184.90208769900843,w,sp,0,iwa,120,184.49491174639505,184.90208769900843,kūmā,-,,
181,KLH021a_0181,ā,384,0.10814371655345667,185.52558696247152,185.63373067902498,k,l,0,kālua,122,185.48148558042652,185.89317794764247,-,kūmā,,
182,KLH021a_0182,u,386,0.09278843287361838,185.71210537475318,185.8048938076268,l,a,0,kālua,122,185.48148558042652,185.89317794764247,-,kūmā,,
183,KLH021a_0183,a,387,0.08828414001567353,185.8048938076268,185.89317794764247,u,k,0,kālua,122,185.48148558042652,185.89317794764247,-,kūmā,,
184,KLH021a_0184,ū,389,0.05333850052952016,186.0083,186.0616385005295,k,m,0,kūmā,123,185.89317794764247,186.49595186045863,kālua,-,,
185,KLH021a_0185,ā,391,0.33071462419644604,186.1652372362622,186.49595186045863,m,sp,0,kūmā,123,185.89317794764247,186.49595186045863,kālua,-,,
186,KLH021a_0186,ū,394,0.05840149381955939,186.67989850618045,186.7383,k,m,0,kūmā,125,186.6294504261715,186.93123804765364,-,iwa,,
187,KLH021a_0187,ā,396,0.1144090385917309,186.8168290090619,186.93123804765364,m,i,0,kūmā,125,186.6294504261715,186.93123804765364,-,iwa,,
188,KLH021a_0188,i,397,0.14706195234637676,186.93123804765364,187.0783,ā,w,0,iwa,126,186.93123804765364,187.2883,kūmā,-,,
189,KLH021a_0189,a,399,0.10999999999998522,187.1783,187.2883,w,sp,0,iwa,126,186.93123804765364,187.2883,kūmā,-,,
0,--,i,401,0.18999999999999773,188.6497,188.8397,sp,a,1,ian,128,188.6497,189.0997,-,ian,,disfl
0,--,a,402,0.09999999999999432,188.8397,188.9397,i,n,1,ian,128,188.6497,189.0997,-,ian,,disfl
0,--,i,404,0.21999999999999886,189.0997,189.3197,n,a,1,ian,129,189.0997,189.5297,ian,ianuali,,disfl
0,--,a,405,0.08999999999997499,189.3197,189.4097,i,n,1,ian,129,189.0997,189.5297,ian,ianuali,,disfl
190,KLH021a_0190,i,407,0.060000000000002274,189.5297,189.5897,n,a,0,ianuali,130,189.5297,190.22186800982718,ian,-,,
191,KLH021a_0191,a,408,0.06999999999999318,189.5897,189.6597,i,n,0,ianuali,130,189.5297,190.22186800982718,ian,-,,
192,KLH021a_0192,u,410,0.12071504859284232,189.7579258454591,189.87864089405196,n,a,0,ianuali,130,189.5297,190.22186800982718,ian,-,,
193,KLH021a_0193,a,411,0.0910591059480339,189.87864089405196,189.9697,u,l,0,ianuali,130,189.5297,190.22186800982718,ian,-,,
194,KLH021a_0194,i,413,0.1521680098271645,190.0697,190.22186800982718,l,sp,0,ianuali,130,189.5297,190.22186800982718,ian,-,,
195,KLH021a_0195,e,416,0.06858133474869987,191.4297,191.4982813347487,m,k,0,me,132,191.37396285186946,191.4982813347487,-,ka,,
196,KLH021a_0196,a,418,0.10592765666294213,191.59377234333706,191.6997,k,n,0,ka,133,191.4982813347487,191.6997,me,nūmōnia,,
