"","filename","vowel","word","start","stress","mahal_mean","mahal_median"
"1","KLH032a_0161","i","i",172.744680328935,"unstressed",288.399241506487,5.12120058467294
"2","KLH032a_1836","ou","lākou",853.946362530111,"primary",86.4099361326091,89.3363479984039
"3","KLH032a_1726","ou","lākou",798.467851191669,"primary",77.051249039718,75.4766890837357
"4","KLH032a_2092","ou","lākou",927.43827992629,"primary",74.3883609784457,76.3823307252983
"5","KLH032a_2097","ou","lākou",929.120830430316,"primary",72.8256079682481,68.9463415308109
"6","KLH032a_2163","ou","kākou",947.200631443841,"primary",70.0310868118847,66.0378841463771
"7","KLH032a_1545","ou","lākou",732.995526534146,"primary",68.6199829849324,68.9578446205657
"8","KLH032e_0986","ao","pepeiao",372.600411045698,"primary",65.2598184773763,61.5194656110465
"9","KLH032a_1574","ou","lākou",743.05623574484,"primary",61.6439001358738,78.278654589782
"10","KLH032a_1005","o","ʻo",556.125309217025,"unstressed",60.2700681155971,60.8600178252908
"11","KLH032a_2261","ao","ʻīao",991.29156577843,"primary",59.0216404714406,39.2456304548518
"12","KLH032e_0884","o","noho",335.882127711913,"unstressed",57.1426985654449,58.0156936282883
"13","KLH032a_1379","o","ko",681.701927829665,"unstressed",54.4516144048026,51.4467869903224
"14","KLH032a_2175","o","o",960.2848152834,"unstressed",53.2476182742227,60.722997126148
"15","KLH032a_3056","ō","pāmalō",1243.4683990807,"primary",52.8551301561425,79.0872619274065
"16","KLH032e_0365","o","loko",151.294461975416,"unstressed",52.6892213063376,55.0819471642818
"17","KLH032a_0933","ou","lākou",537.627181965436,"primary",52.6388119108717,57.570805540139
"18","KLH032a_0917","ao","ʻīao",533.390783038256,"primary",51.0736395903384,38.9059098350221
"19","KLH032a_0190","a","a",180.396433848181,"unstressed",50.2778568657753,71.9191550508028
"20","KLH032a_0080","ou","ʻoukou",115.286838052318,"secondary",46.4724696850175,44.5619143116527
"21","KLH032a_0877","ao","maoli",523.3661,"primary",43.7818780177076,31.1811433842323
"22","KLH032a_1687","o","koko",785.920955885952,"unstressed",41.5183022430304,32.2031489160616
"23","KLH032a_1670","ō","hoʻokō",771.881939615059,"primary",40.4615749792256,42.9643872416344
"24","KLH032a_2296","o","hoʻomana",1001.02772228933,"secondary",40.2257959445743,40.8212618820601
"25","KLH032a_0444","ā","inā",287.1831,"primary",40.188585876594,41.7533505625885
"26","KLH032a_0081","ou","ʻoukou",115.505168272394,"primary",38.24864119992,7.65180035721568
"27","KLH032e_0354","a","a",144.383796821651,"unstressed",38.0741366353897,32.6219304411843
"28","KLH032a_2386","a","a",1040.2131,"unstressed",38.0599693604204,8.8439090138763
"29","KLH032a_0051","a","ʻana",107.378975955342,"primary",37.8303563320045,36.3582592751612
"30","KLH032a_0746","ao","ʻīao",421.439670340261,"primary",37.75192708135,7.54716027147422
"31","KLH032a_1715","au","ʻaumākua",796.2181,"secondary",37.6702221950441,34.0142611017668
"32","KLH032a_2672","o","nonoho",1122.85125131807,"primary",37.525420188208,39.8710168247001
"33","KLH032a_1336","ou","lākou",647.458050386858,"primary",37.4895031601098,37.08717074189
"34","KLH032a_2777","a","ʻaʻohe",1145.81255309809,"unstressed",36.6484956215447,27.1172610565991
"35","KLH032a_0982","a","a",550.302305678624,"unstressed",36.1436291143084,37.006890942633
"36","KLH032e_0431","a","a",169.436571476893,"unstressed",35.5119930264262,27.5311164781382
"37","KLH032a_2595","o","ʻo",1103.76628509312,"unstressed",34.5639426351259,34.5479950552391
"38","KLH032e_1035","a","ʻoiaʻiʻo",387.850426343346,"unstressed",33.9255739162906,34.6854247919012
"39","KLH032a_1035","āi","ʻāina",566.5431,"primary",33.6376601019852,5.34538303570874
"40","KLH032a_2377","ū","pāpū",1036.8821,"primary",33.4928732086356,34.6925007914431
"41","KLH032a_0850","a","a",462.2693253497,"unstressed",33.3874426771338,37.6895209494084
"42","KLH032a_3246","au","hauʻoli",1292.3401,"secondary",33.1103622194879,7.51840580084271
"43","KLH032a_3080","a","ʻaʻohe",1253.47829502199,"unstressed",32.8947710836798,33.7474300605503
"44","KLH032e_0600","a","lokomaikaʻi",224.5868,"primary",32.8475928075876,33.0785843420803
"45","KLH032a_2714","u","ua",1130.86210905496,"primary",32.3588414440795,31.3811101453232
"46","KLH032a_3189","au","hauʻula",1278.80442082156,"secondary",32.3210249212802,20.0846497386011
"47","KLH032a_0095","au","hānau",149.635208776398,"primary",32.2143444676781,22.7949781692577
"48","KLH032a_2000","a","a",896.871849803826,"unstressed",32.1316516561612,29.7374688442577
"49","KLH032e_0515","a","ʻaʻohe",192.8138,"unstressed",31.5521726561341,38.0911595149412
"50","KLH032a_3177","a","kaha",1274.81187296451,"primary",31.0052721431269,29.3958421235258
"51","KLH032e_0614","a","a",228.830580284045,"unstressed",30.0888637967897,21.99329291803
"52","KLH032d_0079","a","ʻaʻohe",38.5519,"unstressed",29.9895961379471,27.3983880753812
"53","KLH032a_1671","au","kauoha",772.139445748034,"secondary",29.8401594087039,35.9162990713842
"54","KLH032b_0069","oa","ʻaʻole",32.7045572413137,"primary",29.6836545943702,17.8593845903255
"55","KLH032d_0325","a","a",141.817165251406,"unstressed",29.5113574706837,27.4126412184651
"56","KLH032a_0543","ū","kaʻū",313.558049658131,"primary",29.2287307227996,30.0606384540681
"57","KLH032a_2499","u","koʻu",1068.49705583313,"unstressed",29.2211926560094,25.753506222646
"58","KLH032a_2276","au","wau",997.269810437978,"primary",28.7372403703789,9.34645391654707
"59","KLH032e_0813","u","koʻu",309.97977866799,"unstressed",28.5481719402102,28.7232119344527
