file,label,group,color,number
KLH032d_0140.wav,i,3,Black,3653
KLH032d_0141.wav,e,2,Blue,3654
KLH032d_0142.wav,a,1,Red,3655
KLH032d_0143.wav,u,5,Olive,3656
KLH032d_0144.wav,ai,11,Teal,3657
KLH032d_0145.wav,o,4,Green,3658
KLH032d_0146.wav,i,3,Black,3659
KLH032d_0147.wav,a,1,Red,3660
KLH032d_0148.wav,o,4,Green,3661
KLH032d_0149.wav,u,5,Olive,3662
KLH032d_0150.wav,i,3,Black,3663
KLH032d_0151.wav,a,1,Red,3664
KLH032d_0152.wav,a,1,Red,3665
KLH032d_0153.wav,a,1,Red,3666
KLH032d_0154.wav,a,1,Red,3667
KLH032d_0155.wav,o,4,Green,3668
KLH032d_0156.wav,u,5,Olive,3669
KLH032d_0157.wav,o,4,Green,3670
KLH032d_0158.wav,i,3,Black,3671
KLH032d_0159.wav,i,3,Black,3672
KLH032d_0160.wav,a,1,Red,3673
KLH032d_0161.wav,a,1,Red,3674
KLH032d_0162.wav,a,1,Red,3675
KLH032d_0163.wav,e,2,Blue,3676
KLH032d_0164.wav,a,1,Red,3677
KLH032d_0165.wav,o,4,Green,3678
KLH032d_0166.wav,i,3,Black,3679
KLH032d_0167.wav,i,3,Black,3680
KLH032d_0168.wav,ēi,24,Yellow,3681
KLH032d_0169.wav,o,4,Green,3682
KLH032d_0170.wav,e,2,Blue,3683
KLH032d_0171.wav,o,4,Green,3684
KLH032d_0172.wav,u,5,Olive,3685
KLH032d_0173.wav,e,2,Blue,3686
KLH032d_0174.wav,e,2,Blue,3687
KLH032d_0175.wav,ū,10,Purple,3688
KLH032d_0176.wav,o,4,Green,3689
KLH032d_0177.wav,i,3,Black,3690
KLH032d_0178.wav,e,2,Blue,3691
KLH032d_0179.wav,o,4,Green,3692
KLH032d_0180.wav,a,1,Red,3693
KLH032d_0181.wav,o,4,Green,3694
KLH032d_0182.wav,e,2,Blue,3695
KLH032d_0183.wav,a,1,Red,3696
KLH032d_0184.wav,ā,6,Yellow,3697
KLH032d_0185.wav,a,1,Red,3698
KLH032d_0186.wav,a,1,Red,3699
KLH032d_0187.wav,i,3,Black,3700
KLH032d_0188.wav,e,2,Blue,3701
KLH032d_0189.wav,e,2,Blue,3702
KLH032d_0190.wav,ā,6,Yellow,3703
KLH032d_0191.wav,o,4,Green,3704
KLH032d_0192.wav,a,1,Red,3705
KLH032d_0193.wav,o,4,Green,3706
KLH032d_0194.wav,i,3,Black,3707
KLH032d_0195.wav,a,1,Red,3708
KLH032d_0196.wav,u,5,Olive,3709
KLH032d_0197.wav,a,1,Red,3710
KLH032d_0198.wav,o,4,Green,3711
KLH032d_0199.wav,a,1,Red,3712
KLH032d_0200.wav,i,3,Black,3713
KLH032d_0201.wav,o,4,Green,3714
KLH032d_0202.wav,o,4,Green,3715
KLH032d_0203.wav,u,5,Olive,3716
KLH032d_0204.wav,a,1,Red,3717
KLH032d_0205.wav,ēi,24,Yellow,3718
KLH032d_0206.wav,e,2,Blue,3719
KLH032d_0207.wav,a,1,Red,3720
KLH032d_0208.wav,o,4,Green,3721
KLH032d_0209.wav,a,1,Red,3722
KLH032d_0210.wav,a,1,Red,3723
KLH032d_0211.wav,au,14,Maroon,3724
KLH032d_0212.wav,a,1,Red,3725
KLH032d_0213.wav,a,1,Red,3726
KLH032d_0214.wav,ū,10,Purple,3727
KLH032d_0215.wav,ai,11,Teal,3728
KLH032d_0216.wav,o,4,Green,3729
KLH032d_0217.wav,i,3,Black,3730
KLH032d_0218.wav,a,1,Red,3731
KLH032d_0219.wav,o,4,Green,3732
KLH032d_0220.wav,a,1,Red,3733
KLH032d_0221.wav,o,4,Green,3734
KLH032d_0222.wav,o,4,Green,3735
KLH032d_0223.wav,a,1,Red,3736
KLH032d_0224.wav,a,1,Red,3737
KLH032d_0225.wav,o,4,Green,3738
KLH032d_0226.wav,i,3,Black,3739
KLH032d_0227.wav,a,1,Red,3740
KLH032d_0228.wav,a,1,Red,3741
KLH032d_0229.wav,a,1,Red,3742
KLH032d_0230.wav,e,2,Blue,3743
KLH032d_0231.wav,u,5,Olive,3744
KLH032d_0232.wav,a,1,Red,3745
KLH032d_0233.wav,a,1,Red,3746
KLH032d_0234.wav,ō,9,Lime,3747
KLH032d_0235.wav,ēi,24,Yellow,3748
KLH032d_0236.wav,au,14,Maroon,3749
KLH032d_0237.wav,ā,6,Yellow,3750
KLH032d_0238.wav,a,1,Red,3751
KLH032d_0239.wav,a,1,Red,3752
KLH032d_0240.wav,a,1,Red,3753
KLH032d_0241.wav,ai,11,Teal,3754
KLH032d_0242.wav,i,3,Black,3755
KLH032d_0243.wav,ō,9,Lime,3756
KLH032d_0244.wav,o,4,Green,3757
KLH032d_0245.wav,i,3,Black,3758
KLH032d_0246.wav,ēi,24,Yellow,3759
