file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH014b_1244,553.2,1352.5,2562.4,133.7,275.4,179.5,39.7,429,251.1,15.8,220.7,128.2,-17,158.8,43.6,-15.5,-23.5,-19.1
KLH014b_1245,392.7,1727.3,2679,18.3,-53.6,-30.8,9.1,-96.7,0.7,1.6,-29.4,-6,5.4,-20.1,-18.2,-3.6,14.3,3.8
KLH014b_1246,477.3,1407.4,2601.5,-1.6,-105.5,25.7,-5.5,67.1,43.9,8.7,-11,2.7,-12.9,27.6,-23.7,0.4,-7.6,17.4
KLH014b_1247,409.1,2108,2711.3,64.8,-199.5,-47.3,-9.3,-18.9,-19.6,0.8,-10.7,-5.4,1.3,4.4,-2.7,0.5,17.5,5.4
KLH014b_1248,551.7,1961.9,2475.5,-78.6,48.3,33,-22.9,19.1,30,-23.5,0.8,-18.5,-3.9,-2.7,10.3,4.3,3.7,-8.3
KLH014b_1249,589.5,2012.1,2756.8,36.7,5.1,15.4,-23.7,-26.7,-32.5,16.7,3.9,16.7,-15.5,-0.6,-6.5,2.8,-9.2,-11.9
KLH014b_1250,423.2,1008.9,2823.1,-14.8,198.7,-94.1,27,53.5,12.8,19.3,42.5,32.7,21,-4,-40.7,-9.5,10.5,0
KLH014b_1251,431.9,2259.9,2742.7,176.1,-397.1,-269.8,27.4,-174.7,-223.4,-7.9,-8.4,-23,-15.1,34.1,4.2,-2,39.3,58.4
KLH014b_1252,427.2,1980.9,2648.2,-33.8,180.1,224.9,-16.2,-63.1,7.6,6.8,28.7,62.7,-10.1,-38.4,-30.9,0.5,5.7,26.9
KLH014b_1253,571.7,1103.6,2509.3,-33.8,-274.8,-21.5,-30.3,102.1,8.2,18.7,-21.5,-6.6,19,-7.9,39.4,-1.1,1.9,12.5
KLH014b_1254,444.3,2279.7,2822.5,64.4,-93,-23.6,-23.7,-111.3,-95.3,34.9,-21.1,-59,-6.2,-16.8,-7.8,24.2,-9.4,-20.1
KLH014b_1255,507.9,1757.8,2599.9,-22.9,30,-38,-37.5,-6,25,-17.4,7.2,39.2,-14.8,-5.6,13.7,-4.7,2.8,22.1
KLH014b_1256,830.3,1580.8,2694.4,54.4,99.1,107.2,-193.6,29.5,29.2,-43.3,-2.1,-7.2,-28.7,-13.2,99.3,29.4,22.4,83.5
KLH014b_1257,379.5,980.4,2766.3,-9.7,203.5,3.1,23.3,11,-120.6,1.2,28.7,9.8,4.2,33.5,-41.3,2.3,-5.7,17.8
KLH014b_1258,390.9,2346.1,2861.4,-16.3,-247,-159,-13.6,-65.8,-10.1,-13.2,-2.3,-20.4,-3.9,18.3,4,-3,11.7,-27.4
KLH014b_1259,378.2,2407.9,2955.3,14.5,35.8,19.4,-6.1,-162.3,-27.4,18.4,42.6,-0.4,0.1,-40,-13.6,2.3,-26.9,-3.4
