Speaker,word_unique,vowel,syllable_number,word_syllables,stress,syllable_stress,Moras,length,f0_reaper,f0_praat,intensity,raw_duration,duration,f1,f2
JM,hale66.6874975206851,e,-1,2,unstressed,Final Unstressed,1,short,108.176293873016,-0.5217431105496235,0.12002167164035434,347.598706585686,-1.0567066065826158,-0.990077278214955,0.674691622360758
JM,hale68.7335440865213,a,-2,2,primary,Primary Stressed,1,short,115.64123525,0.18909225675174945,-0.5224367905158793,74.7086708135356,-2.594159118431832,-0.499932144862052,0.162463949564751
JM,hale68.7335440865213,e,-1,2,unstressed,Final Unstressed,1,short,115.5882398,-0.2570187461379524,0.0715342405342229,60.2617973264614,-2.809056919530592,-0.820656024515125,0.658677795110457
JM,hale73.5502,a,-2,2,primary,Primary Stressed,1,short,NA,NA,-2.4982996080907065,41.2296890844317,-3.1885966732951165,-0.784814152178594,0.0439593365940096
JM,hale73.5502,e,-1,2,unstressed,Final Unstressed,1,short,24.5,-1.2074973699998892,-2.983173919152014,44.541328458692,-3.1113377914034555,-1.18688103380183,0.435270138566003
LV,hale986.46645413895,a,-2,2,primary,Primary Stressed,1,short,166.94744475,-0.22511483037389293,-0.4178601163132751,45.664837996128,-3.0864266865043084,-0.629439931180575,0.393132550870727
LV,hale986.46645413895,e,-1,2,unstressed,Final Unstressed,1,short,163.055107,-0.26237722620698173,0.17063061639596042,46.5104831442886,-3.068077547834302,-1.08935635889291,0.688108400926979
DK,hana1011.79160295342,a,-2,2,primary,Primary Stressed,1,short,134.342955111111,-0.0907149860075123,1.2344508366526628,62.2146356301982,-2.7771650073947223,-0.386951266711125,0.0448875196871379
DK,hana1011.79160295342,a,-1,2,unstressed,Final Unstressed,1,short,140.748051833333,-0.19204775648878153,0.7728481723770638,85.796689474023,-2.455774857451457,-0.615439087269513,0.116570845827902
LV,hana103.820626604931,a,-2,2,primary,Primary Stressed,1,short,204.0715638,0.7279896151120654,-0.24971990696777965,47.086748451477,-3.055763666771425,-0.106703951319668,0.366255233106981
LV,hana103.820626604931,a,-1,2,unstressed,Final Unstressed,1,short,186.2696895,0.21226088796576814,0.17063061639596042,53.6687670522156,-2.924924065812716,-0.542684603353782,0.352540732436194
LV,hana1079.90089750313,a,-2,2,primary,Primary Stressed,1,short,172.333282666667,0.12821881667481716,-0.008018356033630906,38.5597895024148,-3.2555452682169643,-1.34589819060897,0.278521275440751
LV,hana1079.90089750313,a,-1,2,unstressed,Final Unstressed,1,short,186.515282714286,0.3197856044135161,-0.06056217145409842,59.4200034954611,-2.8231243501213377,-0.936248975978229,0.657195329546988
DK,hana1080.645,a,-2,2,primary,Primary Stressed,1,short,161.267654166667,-1.949897263766159,1.109433448411354,49.9999999999545,-2.9957322735549012,-0.331574656939558,0.270324621502302
DK,hana1080.645,a,-1,2,unstressed,Final Unstressed,1,short,NA,NA,-0.8812280412771604,59.6023561308812,-2.8200601732948822,-0.654871598881308,0.260951734059356
DK,hana1091.61154801303,a,-2,2,primary,Primary Stressed,1,short,NA,NA,0.4074127298255506,32.2846095709792,-3.4331646461786516,-0.419190154046636,0.249161402486517
DK,hana1091.61154801303,a,-1,2,unstressed,Final Unstressed,1,short,NA,NA,-1.929450758069664,67.8106035250039,-2.691036702089982,-0.65604050608629,0.22130616609181
LV,hana1099.4961,a,-2,2,primary,Primary Stressed,1,short,191.432395875,0.4686845517743605,1.725927552841797,50.9343351811822,-2.9772180213236656,-0.310009160414213,0.427880889409224
LV,hana1099.4961,a,-1,2,unstressed,Final Unstressed,1,short,190.857254083333,0.45872696192439616,1.074384241628001,73.7392629612259,-2.607219881327447,-0.478586319951695,0.375576017999366
DK,hana1101.15785085296,a,-2,2,primary,Primary Stressed,1,short,126.9363064,-0.5475340322042367,0.06121073161885011,55.4633036219911,-2.8920336729163854,-0.520172663800747,0.208719467513498
DK,hana1101.15785085296,a,-1,2,unstressed,Final Unstressed,1,short,109.378653555556,-0.9634094776159664,-1.0447123182081028,63.741408639998596,-2.7529208704568076,-0.86015162523117,0.24997202164125
LV,hana111.534107973407,a,-2,2,primary,Primary Stressed,1,short,196.060339714286,0.5764883309466383,0.42284093041420506,53.2202095539134,-2.9333170759372758,0.146935236688194,0.428414365015367
LV,hana111.534107973407,a,-1,2,unstressed,Final Unstressed,1,short,175.109310777778,-0.06083640434445448,0.5069110350869512,67.9016466722402,-2.689694993279439,-0.686327305582626,0.518620632901516
LV,hana1111.87651312235,a,-2,2,primary,Primary Stressed,1,short,216.74243125,1.401458119611867,1.3476120818144315,31.6063848381418,-3.454396126959064,-1.06294425935313,0.396166617465247
LV,hana1111.87651312235,a,-1,2,unstressed,Final Unstressed,1,short,175.627981125,-0.20082088932057626,-0.029035882201816715,51.2023434378079,-2.971969977714416,-0.546918907492571,0.457325708509788
LV,hana112.448472608428,a,-2,2,primary,Primary Stressed,1,short,NA,NA,-0.533456510238306,31.897474757457204,-3.44522843353299,-0.494565355009584,0.502903217006106
LV,hana112.448472608428,a,-1,2,unstressed,Final Unstressed,1,short,176.7584725,0.10077624441038982,-0.7751580611724548,50.630912313423,-2.9831929739364536,-0.774669945249453,0.502408044923694
JM,hana115.5855,a,-2,2,primary,Primary Stressed,1,short,111.647814857143,-0.3903985196638969,0.39882440050060397,63.9668142198104,-2.7493908579199657,-0.303760152365411,0.206006837420616
JM,hana115.5855,a,-1,2,unstressed,Final Unstressed,1,short,101.465601285714,-0.7964398308151079,-0.08604991056070335,58.9061653270306,-2.831809519319895,-0.950278018116656,0.144271249898234
LV,hana118.4379,a,-2,2,primary,Primary Stressed,1,short,217.790949,1.2004352547410262,1.4106646603189918,60.5609281130768,-2.804105344457221,0.102130054781644,0.470707277205618
LV,hana118.4379,a,-1,2,unstressed,Final Unstressed,1,short,184.367330625,0.26081394178502487,0.5279285612551401,53.5889592899679,-2.9264122155189956,-0.502651652440942,0.478853961773437
AA,hana1215.256222,a,-2,2,primary,Primary Stressed,1,short,167.189832,1.1590965545869294,0.9085193464153801,56.270243,-2.877589427081728,-0.451444184091281,0.130594748678035
AA,hana1215.256222,a,-1,2,unstressed,Final Unstressed,1,short,150.93830875,0.4709523131051389,-0.17235500114459454,50.791627999999996,-2.9800237411288384,-0.497627984194235,0.201050494287282
