"","Speaker","filename","word","word_unique","vowel","syllable_number","word_syllables","stress","syllable_stress","Moras","length","f0_reaper","f0_praat","intensity","duration","log_duration","f1","f2","syll_length"
"60","HM","KLH021a_0357","hoʻoholo","hoʻoholo262.8234","o","-2",4,"primary","Primary Stressed",1,"short",145.579843,151.049354411708,79.8,77.5641145763757,4.35110487920426,-1.08689655622162,-0.15885936674643,"-2.short"
"61","SB","KLH033b_0192","hoʻoholo","hoʻoholo90.454","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,52.8,58.2105520052068,4.06406664423485,-0.788482851762193,-0.488531739474845,"-4.short"
"62","SB","KLH033b_0194","hoʻoholo","hoʻoholo90.454","o","-2",4,"primary","Primary Stressed",1,"short",146.421675181818,144.939644096037,60.8,73.9431336282337,4.30329633330065,-0.909465060092218,-0.456559223794301,"-2.short"
"63","IN","KLH013b_1171","hoʻoholo","hoʻoholo904.340446495682","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,73,36.6804401932086,3.60224364822161,-0.840453969237557,-0.421739075964425,"-4.short"
"64","IN","KLH013b_1173","hoʻoholo","hoʻoholo904.340446495682","o","-2",4,"primary","Primary Stressed",1,"short",228.967323166667,228.216049539301,77.9,52.951303352188,3.96937268651668,-0.863230006329351,-0.353042544678189,"-2.short"
"65","DK","KLH063c_0584","hoʻohuli","hoʻohuli277.654424870986","o","-4",4,"secondary","Secondary Stressed",1,"short",148.450968333333,149.229752220245,80.05,62.2543072755661,4.13122772613286,-0.632102095148106,-0.310302344296141,"-4.short"
"66","DK","KLH063c_0586","hoʻohuli","hoʻohuli277.654424870986","u","-2",4,"primary","Primary Stressed",1,"short",192.508227888889,200.084011081343,81.25,70.134599335745,4.25041624339771,-1.14089064344902,-0.105175148573455,"-2.short"
"67","DK","KLH063c_0737","hoʻohuli","hoʻohuli323.524539258133","o","-4",4,"secondary","Secondary Stressed",1,"short",154.197693,152.994072196665,80.8,44.2105559827155,3.78896358370831,-0.620908856376444,-0.310124992163017,"-4.short"
"68","DK","KLH063c_0739","hoʻohuli","hoʻohuli323.524539258133","u","-2",4,"primary","Primary Stressed",1,"short",172.60573665,178.899009255149,79.3,111.376592956503,4.71291718832845,-1.17947663744421,-0.416753938849927,"-2.short"
"69","AA","KLH057b_0792","hoʻohuli","hoʻohuli329.5992021","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,77.4,32.151854,3.47047011620601,-0.887341595266843,-0.256890914318267,"-4.short"
"70","AA","KLH057b_0794","hoʻohuli","hoʻohuli329.5992021","u","-2",4,"primary","Primary Stressed",1,"short",113.463754,124.022045458464,78.2,55.823188,4.02218933862352,-1.11524422754431,-0.34432745893951,"-2.short"
"71","AA","KLH057b_0847","hoʻohuli","hoʻohuli347.388","o","-4",4,"secondary","Secondary Stressed",1,"short",141.2913971,137.024926757291,77.7,72.430818,4.28263187180631,-0.968661082067758,-0.270313080770227,"-4.short"
"72","AA","KLH057b_0849","hoʻohuli","hoʻohuli347.388","u","-2",4,"primary","Primary Stressed",1,"short",175.129609416667,184.468629091934,80.9,72.570144,4.28455359757911,-1.09021715949519,-0.172009104313404,"-2.short"
"73","AA","KLH057b_0281","hoʻokahi","hoʻokahi134.3810578","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,75.6,39.247031,3.66987579805522,-0.725505391354754,-0.323782764729994,"-4.short"
"74","AA","KLH057b_0283","hoʻokahi","hoʻokahi134.3810578","a","-2",4,"primary","Primary Stressed",1,"short",NA,NA,77.9,36.565719,3.59911116214233,-0.851894255752056,0.365031301399484,"-2.short"
"75","DK","KLH063a_3604","hoʻokahi","hoʻokahi1416.613","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,71.7,45.3890383128055,3.81527062903981,-0.906925381095986,-0.328981091144232,"-4.short"
"76","DK","KLH063a_3606","hoʻokahi","hoʻokahi1416.613","a","-2",4,"primary","Primary Stressed",1,"short",NA,NA,67.7,40.2966484432454,3.69626830031421,-0.771382913477761,0.217372373965642,"-2.short"
"77","SB","KLH033b_0280","hoʻokahi","hoʻokahi148.866443745294","o","-4",4,"secondary","Secondary Stressed",1,"short",141.376332666667,157.137881567744,64.15,42.5857787589621,3.75152036559179,-1.023043191941,-0.422100344798252,"-4.short"
"78","SB","KLH033b_0282","hoʻokahi","hoʻokahi148.866443745294","a","-2",4,"primary","Primary Stressed",1,"short",190.589495142857,189.594476109222,74,56.9897921627387,4.04287216693271,-0.795065241716252,0.237269092430854,"-2.short"
"79","JM","KLH016b_0285","hoʻokahi","hoʻokahi150.5436","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,69.9,44.1699040343337,3.78804365296251,-0.688637873036869,-0.393255839540705,"-4.short"
"80","JM","KLH016b_0287","hoʻokahi","hoʻokahi150.5436","a","-2",4,"primary","Primary Stressed",1,"short",128.679135272727,130.129862224118,76.7,72.1294221859239,4.27846203575182,-0.59276569249518,0.454267411054248,"-2.short"
"81","IN","KLH013b_0127","hoʻokahi","hoʻokahi153.362544292657","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,67.2,36.2841602877495,3.59138129033057,-0.820389847652859,-0.543053982365582,"-4.short"
"82","IN","KLH013b_0129","hoʻokahi","hoʻokahi153.362544292657","a","-2",4,"primary","Primary Stressed",1,"short",NA,NA,67.4,58.8503490664891,4.07499776514985,-0.522110475207615,0.336694209470585,"-2.short"
"83","AA","KLH057b_0337","hoʻokahi","hoʻokahi163.985","o","-4",4,"secondary","Secondary Stressed",1,"short",163.783139571429,163.743383179358,79,57.511362,4.051982528283,-0.855796923699022,-0.187215854242887,"-4.short"
"84","AA","KLH057b_0339","hoʻokahi","hoʻokahi163.985","a","-2",4,"primary","Primary Stressed",1,"short",162.810495545455,157.706171532553,75.15,79.18231,4.37175291528628,-0.608631400758698,0.339048672674755,"-2.short"
"85","AA","KLH057a_4181","hoʻokahi","hoʻokahi1841.19","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,68.8,43.5304,3.773459544587,-0.982141519517001,-0.230698346876506,"-4.short"
"86","AA","KLH057a_4183","hoʻokahi","hoʻokahi1841.19","a","-2",4,"primary","Primary Stressed",1,"short",158.049934333333,157.263414087699,77.4,46.338813,3.83597990365674,-0.629048606521926,0.356958363065083,"-2.short"
"87","DK","KLH063a_4248","hoʻokahi","hoʻokahi1960.77708610045","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,64.65,35.5802967033014,3.57179202125018,-0.834459911748419,-0.295105642654446,"-4.short"
"88","DK","KLH063a_4250","hoʻokahi","hoʻokahi1960.77708610045","a","-2",4,"primary","Primary Stressed",1,"short",175.005534,171.814872026753,73.7,41.9056827838631,3.73542144503138,-0.865699774673147,0.207557720538033,"-2.short"
"89","JM","KLH016c_0323","hoʻokahi","hoʻokahi233.0285","o","-4",4,"secondary","Secondary Stressed",1,"short",118.6886108,124.060661880367,75.85,47.751043472573,3.86600091951672,-0.865391918356517,-0.191724836465539,"-4.short"
"90","JM","KLH016c_0325","hoʻokahi","hoʻokahi233.0285","a","-2",4,"primary","Primary Stressed",1,"short",128.230609,129.414913515023,72.9,57.4857511740277,4.05153711142532,-0.83017701206545,0.351276675878366,"-2.short"
"91","JM","KLH016c_0353","hoʻokahi","hoʻokahi238.054089265496","o","-4",4,"secondary","Secondary Stressed",1,"short",130.473373,133.916815028709,74.2,40.4718722221844,3.70060721979411,-1.00499574546532,-0.486995917951326,"-4.short"
"92","JM","KLH016c_0355","hoʻokahi","hoʻokahi238.054089265496","a","-2",4,"primary","Primary Stressed",1,"short",81.8525313333333,164.489599375077,73.05,50.0720198884324,3.91346236681901,-0.874712045131282,0.469253991381602,"-2.short"
"93","JM","KLH016c_0382","hoʻokahi","hoʻokahi250.4685","o","-4",4,"secondary","Secondary Stressed",1,"short",114.545456,124.570438066062,75.55,30.0000000000011,3.40119738166219,-0.906055797610414,-0.192477565142406,"-4.short"
"94","JM","KLH016c_0384","hoʻokahi","hoʻokahi250.4685","a","-2",4,"primary","Primary Stressed",1,"short",156.715240307692,157.078996416554,80.95,86.8633564124366,4.46433626799534,-0.524741800363413,0.389627470609735,"-2.short"
"95","JM","KLH016a_0703","hoʻokahi","hoʻokahi278.012304829999","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,72,42.5178175726728,3.74992322507916,-1.10458172013243,-0.201771914984746,"-4.short"
"96","JM","KLH016a_0705","hoʻokahi","hoʻokahi278.012304829999","a","-2",4,"primary","Primary Stressed",1,"short",133.83967,134.844101729981,75.9,73.5596535145078,4.29809668948179,-0.645669773155028,0.436847991579294,"-2.short"
"97","JM","KLH016b_0617","hoʻokahi","hoʻokahi289.932086680204","o","-4",4,"secondary","Secondary Stressed",1,"short",113.5814325,121.745570706211,75.9,32.6715163020026,3.4865036372082,-0.80544964906986,-0.240007228895663,"-4.short"
