Speaker,word_unique,vowel,syllable_number,word_syllables,stress,syllable_stress,Moras,length,f0_reaper,f0_praat,intensity,raw_duration,duration,f1,f2
AA,kaʻa1264.662433,a,-1,2,unstressed,Final Unstressed,1,short,172.7144635,167.958913188454,78.8,76.652322,-2.56847538058108,-0.62694228219357,0.193869927100695
AA,kaʻa1318.683735,a,-2,2,primary,Primary Stressed,1,short,130.088501,109.448355610514,74.65,39.2603,-3.23754144879776,-0.47066362255588,0.0866243967470979
AA,kaʻa1318.683735,a,-1,2,unstressed,Final Unstressed,1,short,NA,NA,71.3,41.110642000000006,-3.191488261556001,-0.415114919533161,0.210835386008018
AA,kaʻa1437.521653,a,-2,2,primary,Primary Stressed,1,short,191.66221425,187.422767948606,77.25,62.291196,-2.775935179386684,-0.353611161476686,0.176775493741395
AA,kaʻa1437.521653,a,-1,2,unstressed,Final Unstressed,1,short,184.518829,181.934154278984,75.5,77.91761899999999,-2.5521031770962512,-0.407887216411708,0.15139257824042
AA,kaʻa1496.573,a,-2,2,primary,Primary Stressed,1,short,147.782870272727,134.80809017833,76,92.906701,-2.376159504439679,-0.356329406746858,0.13119501452807
AA,kaʻa1496.573,a,-1,2,unstressed,Final Unstressed,1,short,NA,NA,69.6,54.051863999999995,-2.9178112489050743,-0.476470748660927,0.205517280050232
DK,kaʻa209.142718963569,a,-2,2,primary,Primary Stressed,1,short,185.242808588235,136.25533188888,70.9,119.48567783099399,-2.1245587655799123,-0.457833540312743,0.108358201852869
DK,kaʻa209.142718963569,a,-1,2,unstressed,Final Unstressed,1,short,80.5908964,78.6012389752553,69,57.2316536300548,-2.8606481485166584,-0.440578849612327,-0.0300082621890958
DK,kaʻa2532.97476971926,a,-2,2,primary,Primary Stressed,1,short,184.485469,185.27816623096,78.3,78.5992937817355,-2.5433925645525384,-0.43735130512146,0.00121541670446224
DK,kaʻa2532.97476971926,a,-1,2,unstressed,Final Unstressed,1,short,130.052417,NA,74.4,68.2048529019994,-2.685239559743442,-0.307055875665482,0.0678732699646334
DK,kaʻa265.287449434519,a,-2,2,primary,Primary Stressed,1,short,160.417387111111,151.95207505841,76.15,66.5846504120395,-2.7092812022927766,-0.359500537778382,0.0773069218645039
DK,kaʻa265.287449434519,a,-1,2,unstressed,Final Unstressed,1,short,72.823044,NA,70.9,41.434538071826005,-3.183640493003778,-0.458244752709738,0.0537592277961938
SB,kaʻa41.4852702766936,a,-2,2,primary,Primary Stressed,1,short,174.593878428571,NA,60.9,59.999999999995204,-2.8134107167601163,-0.491734611984184,0.342295290372299
SB,kaʻa41.4852702766936,a,-1,2,unstressed,Final Unstressed,1,short,137.5681245,192.83998296108,59.65,62.159343139853696,-2.77805414022675,-0.542332517178956,0.322909985704043
RM,kaʻa498.517482430668,a,-2,2,primary,Primary Stressed,1,short,223.6757476,NA,72.3,48.5548660980157,-3.0250608606779457,-0.367978375090606,0.168356320011446
RM,kaʻa498.517482430668,a,-1,2,unstressed,Final Unstressed,1,short,192.397392166667,176.2631892005,68.4,84.7232867627667,-2.468364782847008,-0.31578300160501,0.160356810650682
RM,kaʻa500.203513412722,a,-2,2,primary,Primary Stressed,1,short,196.0626715,NA,70.5,57.226675128561,-2.860735140901589,-0.414628136585978,0.113811297576687
RM,kaʻa500.203513412722,a,-1,2,unstressed,Final Unstressed,1,short,183.385460666667,182.731350198816,70.9,89.6778649361067,-2.4115313080829632,-0.341871912345852,0.151820378372832
DK,kaʻa572.114235352393,a,-2,2,primary,Primary Stressed,1,short,153.362198166667,NA,72.4,56.7427851602815,-2.869226764442337,-0.423749281835293,0.034304087568243
DK,kaʻa572.114235352393,a,-1,2,unstressed,Final Unstressed,1,short,152.06897,NA,66.7,41.4193651962478,-3.1840067491522355,-0.414192445215954,0.0242423275606525
DK,kaʻa583.173626652469,a,-2,2,primary,Primary Stressed,1,short,123.858321333333,NA,74.6,73.4252383024341,-2.6114875563809754,-0.404011583279843,0.0843042914259033
DK,kaʻa583.173626652469,a,-1,2,unstressed,Final Unstressed,1,short,NA,NA,62.3,100.964886476618,-2.292982481235502,-0.364730935754681,0.127964029657345
DK,kaʻi2628.12820146231,a,-2,2,primary,Primary Stressed,1,short,74.609970875,NA,77.9,77.6946677515298,-2.554968650069852,-0.558606055700884,0.198890162339031
DK,kaʻi2628.12820146231,i,-1,2,unstressed,Final Unstressed,1,short,NA,NA,63.8,79.347745789164,-2.533915240867387,-1.2101161136461,0.605349659335157
DK,kaʻu1001.59903547395,a,-2,2,primary,Primary Stressed,1,short,NA,NA,66.4,47.693990601260296,-3.042949872226482,-0.720211509136164,0.100783295459927
DK,kaʻu1001.59903547395,u,-1,2,unstressed,Final Unstressed,1,short,NA,NA,63.9,32.3953261101906,-3.4297411224480454,-0.988660522920089,-0.022531591846076
DK,kaʻu1060.19136422727,a,-2,2,primary,Primary Stressed,1,short,131.970095166667,131.049379541983,73.7,57.1189246256836,-2.8626197877092,-0.814684697430719,-0.00870547225444618
DK,kaʻu1060.19136422727,u,-1,2,unstressed,Final Unstressed,1,short,72.772278,112.32016035778,67.95,38.0792830835617,-3.268084895823335,-1.12741516666251,-0.206130899971836
DK,kaʻu1061.03213208395,a,-2,2,primary,Primary Stressed,1,short,NA,NA,62.9,37.2514725818291,-3.2900638025398568,-0.613275538206479,0.100979247099689
DK,kaʻu1061.03213208395,u,-1,2,unstressed,Final Unstressed,1,short,NA,NA,58.6,52.9798721163388,-2.9378432089512665,-1.04880465899989,-0.0894553858017488
DK,kaʻu107.850077138726,a,-2,2,primary,Primary Stressed,1,short,147.2798766,152.52149188358,72.3,48.8841849071093,-3.018301351844408,-0.705708248197081,-0.0542431041145726
DK,kaʻu107.850077138726,u,-1,2,unstressed,Final Unstressed,1,short,190.670161714286,205.981180622514,74.35,55.105808440743,-2.898500152031758,-1.10832403930905,-0.0716942648669008
LV,kaʻu1125.4781,a,-2,2,primary,Primary Stressed,1,short,127.536034916667,NA,NA,81.5444728821149,-2.506606728029106,-0.373357913416196,0.325716966777025
LV,kaʻu1125.4781,u,-1,2,unstressed,Final Unstressed,1,short,114.555465833333,117.896880947379,66.9,104.301069965686,-2.260473658488374,-1.28194946600869,-0.659060179242286
LV,kaʻu113.351609185674,a,-2,2,primary,Primary Stressed,1,short,136.631948555556,NA,NA,75.5058677760587,-2.58354490685892,-0.447374423549458,0.359135738418599
LV,kaʻu113.351609185674,u,-1,2,unstressed,Final Unstressed,1,short,NA,NA,62.4,64.2731477605878,-2.7446133436613946,-1.21768753179032,0.0509534533168008
DK,kaʻu1132.47918303995,a,-2,2,primary,Primary Stressed,1,short,124.138778727273,NA,71.5,72.8473241601932,-2.619389477829611,-0.55399374553191,0.124257278752059
DK,kaʻu1132.47918303995,u,-1,2,unstressed,Final Unstressed,1,short,116.514442375,113.650444621928,70.7,57.1189246254562,-2.862619787713181,-0.911229239686903,-0.0238626182637995
SB,kaʻu117.553702280707,a,-2,2,primary,Primary Stressed,1,short,148.716138166667,107.90451039084,67.5,58.8929229560904,-2.832034349090464,-0.628773459242502,0.250612051784548
