"","Speaker","filename","word","word_unique","vowel","syllable_number","word_syllables","stress","syllable_stress","Moras","length","f0_reaper","f0_praat","intensity","duration","log_duration","f1","f2","syll_comp"
"101","DK","KLH063c_0482","hoʻohana","hoʻohana253.247463150842","o","-4",4,"secondary","Secondary Stressed",1,"short",160.5469895,162.559931467052,77,53.5218406863294,3.98008980772351,-0.914253000090138,-0.225224173676644,"-4_4"
"102","DK","KLH063c_0483","hoʻohana","hoʻohana253.247463150842","o","-3",4,"unstressed","Antepen. Unstressed",1,"short",103.986306923077,86.1536364816229,77.35,83.23169692477,4.42162824792899,-0.690547201502071,-0.241096654023582,"-3_4"
"103","DK","KLH063c_0484","hoʻohana","hoʻohana253.247463150842","a","-2",4,"primary","Primary Stressed",1,"short",163.116699,167.498012272685,77.5,57.0464439596492,4.04386574236973,-0.310952904688131,0.201197050306878,"-2_4"
"104","DK","KLH063c_0485","hoʻohana","hoʻohana253.247463150842","a","-1",4,"unstressed","Final Unstressed",1,"short",166.528433428571,165.358664452403,72.8,57.9816315655819,4.06012626324215,-0.802811078615925,0.377390708444019,"-1_4"
"105","HM","KLH021c_0296","hoʻohana","hoʻohana432.870324896192","o","-4",4,"secondary","Secondary Stressed",1,"short",122.863618230769,120.57377788782,76.05,91.2943388556187,4.51408877971592,-0.75546993480698,-0.258474923103346,"-4_4"
"106","HM","KLH021c_0297","hoʻohana","hoʻohana432.870324896192","o","-3",4,"unstressed","Antepen. Unstressed",1,"short",125.215353,129.041454586584,76.85,47.7856368537459,3.86672511011172,-0.564351259014444,-0.354619869502728,"-3_4"
"107","HM","KLH021c_0298","hoʻohana","hoʻohana432.870324896192","a","-2",4,"primary","Primary Stressed",1,"short",153.159236666667,155.832901612541,83.8,96.104451330973,4.56543563468472,-0.247469309266744,0.20325394434537,"-2_4"
"108","HM","KLH021c_0299","hoʻohana","hoʻohana432.870324896192","a","-1",4,"unstressed","Final Unstressed",1,"short",152.423485,151.644230292194,83.5,52.547045818244,3.96170887915367,-0.214821103426699,0.246391447993294,"-1_4"
"109","DK","KLH063c_1139","hoʻohana","hoʻohana477.174668996181","o","-4",4,"secondary","Secondary Stressed",1,"short",115.618721090909,NA,64.8,70.8858228608165,4.26107045389351,-0.576885024347089,-0.249462122049061,"-4_4"
"110","DK","KLH063c_1140","hoʻohana","hoʻohana477.174668996181","o","-3",4,"unstressed","Antepen. Unstressed",1,"short",NA,NA,67.7,57.0922986825622,4.0446692333548,-0.646479011500725,-0.17787271719577,"-3_4"
